slug,label
mi_911,Lake Michigan Grid: 911
mi_912,Lake Michigan Grid: 912
mi_915,Lake Michigan Grid: 915
su_335,Lake Superior Grid: 335
su_741,Lake Superior Grid: 741
su_844,Lake Superior Grid: 844
mi_1605,Lake Michigan Grid: 1605
mi_1606,Lake Michigan Grid: 1606
mi_1607,Lake Michigan Grid: 1607
mi_1608,Lake Michigan Grid: 1608
mi_1701,Lake Michigan Grid: 1701
mi_1703,Lake Michigan Grid: 1703
mi_1704,Lake Michigan Grid: 1704
mi_1705,Lake Michigan Grid: 1705
mi_1706,Lake Michigan Grid: 1706
mi_1707,Lake Michigan Grid: 1707
mi_1708,Lake Michigan Grid: 1708
mi_1709,Lake Michigan Grid: 1709
mi_1710,Lake Michigan Grid: 1710
